,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,idx
0,2772,755,7036,1810,15677,1686,48,1,478,576.25,10560.0,new,experiments/results/DP_2_2/labels_2h/0.onnx,DP,3,3,2.2185776233673096,0,1e-05,20,0.1,21,True,10000,True,10000,True,True,0
1,2622,1020,5714,2193,17313,1345,16,714,142,437.31,12953.0,new,experiments/results/DP_2_2/labels_2h/5.onnx,DP,3,3,454.1109516620636,250000,1e-05,20,0.1,21,True,10000,True,10000,True,True,5
2,498,48,738,60,962,40,8,1,0,24.83,607.0,new,experiments/results/DP_2_2/labels_2h/10.onnx,DP,3,3,881.6824655532837,500000,1e-05,20,0.1,21,True,10000,True,10000,True,True,10
3,1152,298,1850,512,3058,185,4,66,13,265.38,2372.0,new,experiments/results/DP_2_2/labels_2h/15.onnx,DP,3,3,1306.23912525177,750000,1e-05,20,0.1,21,True,10000,True,10000,True,True,15
4,649,245,1262,435,1596,187,28,217,0,147.4,1110.0,new,experiments/results/DP_2_2/labels_2h/20.onnx,DP,3,3,1730.9651458263397,1000000,1e-05,20,0.1,21,True,10000,True,10000,True,True,20
5,482,181,883,332,929,141,4,39,5,73.0,523.0,new,experiments/results/DP_2_2/labels_2h/25.onnx,DP,3,3,2156.9190316200256,1250000,1e-05,20,0.1,21,True,10000,True,10000,True,True,25
6,1597,529,2722,933,5827,533,14,82,0,423.23,4547.0,new,experiments/results/DP_2_2/labels_2h/30.onnx,DP,3,3,2584.017776966095,1500000,1e-05,20,0.1,21,True,10000,True,10000,True,True,30
7,2235,71,3953,99,9745,590,110,27,82,277.42,7951.0,new,experiments/results/DP_2_2/labels_2h/35.onnx,DP,3,3,3013.0401771068573,1750000,1e-05,20,0.1,21,True,10000,True,10000,True,True,35
8,2791,106,6231,177,22605,1959,2,3,142,406.58,15976.0,new,experiments/results/DP_2_2/labels_2h/40.onnx,DP,3,3,3440.2083916664124,2000000,1e-05,20,0.1,21,True,10000,True,10000,True,True,40
9,2833,188,6798,363,21186,2127,8,3,165,713.52,13905.0,new,experiments/results/DP_2_2/labels_2h/45.onnx,DP,3,3,3869.2026019096375,2250000,1e-05,20,0.1,21,True,10000,True,10000,True,True,45
10,1309,127,2247,204,3527,227,17,4,17,130.99,2761.0,new,experiments/results/DP_2_2/labels_2h/50.onnx,DP,3,3,4298.797839641571,2500000,1e-05,20,0.1,21,True,10000,True,10000,True,True,50
11,1538,199,2961,357,5653,635,10,3,21,427.7,4253.0,new,experiments/results/DP_2_2/labels_2h/55.onnx,DP,3,3,4728.674720287323,2750000,1e-05,20,0.1,21,True,10000,True,10000,True,True,55
12,386,154,679,300,728,30,0,128,2,30.58,369.0,new,experiments/results/DP_2_2/labels_2h/60.onnx,DP,3,3,5161.609011888504,3000000,1e-05,20,0.1,21,True,10000,True,10000,True,True,60
13,532,66,847,101,1120,131,0,12,0,42.04,764.0,new,experiments/results/DP_2_2/labels_2h/65.onnx,DP,3,3,5595.025446653366,3250000,1e-05,20,0.1,21,True,10000,True,10000,True,True,65
14,1273,112,2146,165,2168,52,31,292,35,274.48,1587.0,new,experiments/results/DP_2_2/labels_2h/70.onnx,DP,3,3,6029.598299741745,3500000,1e-05,20,0.1,21,True,10000,True,10000,True,True,70
15,1300,72,1958,109,3680,236,9,12,0,258.21,3030.0,new,experiments/results/DP_2_2/labels_2h/75.onnx,DP,3,3,6463.026389837265,3750000,1e-05,20,0.1,21,True,10000,True,10000,True,True,75
16,1202,178,2255,312,4349,487,5,34,32,311.14,3319.0,new,experiments/results/DP_2_2/labels_2h/80.onnx,DP,3,3,6897.598208427429,4000000,1e-05,20,0.1,21,True,10000,True,10000,True,True,80
17,885,118,1612,198,1687,159,5,76,4,148.98,1189.0,new,experiments/results/DP_2_2/labels_2h/85.onnx,DP,3,3,7331.489023447037,4250000,1e-05,20,0.1,21,True,10000,True,10000,True,True,85
18,989,56,1662,82,2182,396,1,3,23,154.07,1467.0,new,experiments/results/DP_2_2/labels_2h/90.onnx,DP,3,3,7765.626490354538,4500000,1e-05,20,0.1,21,True,10000,True,10000,True,True,90
19,808,76,1361,124,1731,123,1,43,1,190.64,1251.0,new,experiments/results/DP_2_2/labels_2h/95.onnx,DP,3,3,8202.148159742355,4750000,1e-05,20,0.1,21,True,10000,True,10000,True,True,95
20,1657,168,3368,287,7286,479,15,27,1,236.52,6111.0,new,experiments/results/DP_2_2/labels_2h/100.onnx,DP,3,3,8637.228025913239,5000000,1e-05,20,0.1,21,True,10000,True,10000,True,True,100
